index,address,bathrooms,country,detailedType.subTypology,detailedType.typology,district,exterior,externalReference,floor,has360,has3DTour,hasLift,hasPlan,hasVideo,latitude,longitude,municipality,neighborhood,newDevelopment,newDevelopmentFinished,numPhotos,operation,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,parkingSpace.parkingSpacePrice,price,priceByArea,propertyCode,propertyType,province,rooms,showAddress,size,status,suggestedTexts.subtitle,suggestedTexts.title,thumbnail,url
35,barrio Hostafrancs,2,es,,flat,Sants-Montjuïc,True,1497,1,False,False,True,True,False,41.378209,2.1424443,Barcelona,Hostafrancs,False,,15,sale,,,,285000.0,3800.0,88687687,flat,Barcelona,2,False,75.0,good,"Hostafrancs, Barcelona",Piso,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/34/0f/6d/752725464.jpg,https://www.idealista.com/inmueble/88687687/
36,Calle de Cartagena,1,es,studio,flat,Eixample,True,FV041,3,False,False,True,True,False,41.4069743,2.1800181,Barcelona,La Sagrada Família,False,,22,sale,,,,110000.0,2750.0,88687601,studio,Barcelona,0,False,40.0,good,"La Sagrada Família, Barcelona",Estudio en Calle de Cartagena,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/f8/87/af/752723594.jpg,https://www.idealista.com/inmueble/88687601/
37,barrio Sants - Badal,2,es,penthouse,flat,Sants-Montjuïc,True,6393,7,False,False,True,False,False,41.3744988,2.1240597,Barcelona,Sants - Badal,False,,33,sale,,,,580000.0,4296.0,88687603,penthouse,Barcelona,3,False,135.0,good,"Sants - Badal, Barcelona",Ático,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/da/06/d3/752723661.jpg,https://www.idealista.com/inmueble/88687603/
38,Avenida de Sarrià,2,es,,flat,Les Corts,True,,1,True,False,True,False,False,41.3896747,2.1412282,Barcelona,Les Corts,False,,34,sale,,,,520000.0,3562.0,88687513,flat,Barcelona,4,False,146.0,renew,"Les Corts, Barcelona",Piso en Avenida de Sarrià,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/b2/fa/ec/752722549.jpg,https://www.idealista.com/inmueble/88687513/
39,barrio L'Antiga Esquerra de l'Eixample,1,es,penthouse,flat,Eixample,True,02-611,8,False,False,True,False,True,41.38744,2.15109,Barcelona,L'Antiga Esquerra de l'Eixample,False,,25,sale,,,,540000.0,6750.0,88687438,penthouse,Barcelona,3,False,80.0,good,"L'Antiga Esquerra de l'Eixample, Barcelona",Ático,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/42/d5/37/752720826.jpg,https://www.idealista.com/inmueble/88687438/
40,Calle del Consell de Cent,1,es,,flat,Eixample,True,AP_8-404-426,8,False,False,True,False,False,41.3998061,2.1788211,Barcelona,El Fort Pienc,False,,16,sale,True,False,35000.0,390000.0,4535.0,88687432,flat,Barcelona,3,False,86.0,good,"El Fort Pienc, Barcelona",Piso en Calle del Consell de Cent,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/d6/5c/97/752720777.jpg,https://www.idealista.com/inmueble/88687432/
41,Calle de Dalmau Creixell,1,es,,flat,Horta Guinardó,True,001-733,4,False,False,True,False,False,41.4266466,2.1710443,Barcelona,La Font d'En Fargues,False,,19,sale,,,,325000.0,4221.0,88687488,flat,Barcelona,3,False,77.0,good,"La Font d'En Fargues, Barcelona",Piso en Calle de Dalmau Creixell,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/4e/d7/a6/752721815.jpg,https://www.idealista.com/inmueble/88687488/
42,Granvia,2,es,,flat,Eixample,True,03granvia,2,False,False,True,False,False,41.3779056,2.1528,Barcelona,La Nova Esquerra de l'Eixample,False,,32,sale,,,,390000.0,4021.0,88687421,flat,Barcelona,4,False,97.0,good,"La Nova Esquerra de l'Eixample, Barcelona",Piso en Granvia,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/cd/ae/9e/752720717.jpg,https://www.idealista.com/inmueble/88687421/
43,ANDRADE,1,es,,flat,Sant Martí,True,PB-ADR175K,1,False,False,True,False,True,41.4177233,2.2013107,Barcelona,Sant Martí de Provençals,False,,23,sale,,,,175000.0,2917.0,88687411,flat,Barcelona,3,False,60.0,good,"Sant Martí de Provençals, Barcelona",Piso en ANDRADE,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/ca/b3/25/752720431.jpg,https://www.idealista.com/inmueble/88687411/
44,barrio El Gòtic,1,es,,flat,Ciutat Vella,True,GOT190-15,,False,False,False,False,False,41.3819041,2.174815,Barcelona,El Gòtic,False,,18,sale,,,,540000.0,6429.0,88687471,flat,Barcelona,2,False,84.0,good,"El Gòtic, Barcelona",Piso,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/72/ce/bf/752721478.jpg,https://www.idealista.com/inmueble/88687471/
45,Calle de la Riera de Tena,1,es,,flat,Sants-Montjuïc,True,1638,1,False,False,True,True,True,41.3720927,2.1342698,Barcelona,Sants,False,,21,sale,,,,215000.0,3071.0,88687417,flat,Barcelona,3,False,70.0,renew,"Sants, Barcelona",Piso en Calle de la Riera de Tena,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/a6/25/c1/752720511.jpg,https://www.idealista.com/inmueble/88687417/
46,Calle de Calderón de la Barca,1,es,,flat,Horta Guinardó,False,810CB,bj,False,False,False,False,False,41.42266,2.156265,Barcelona,El Carmel,False,,14,sale,,,,154500.0,2809.0,88687359,flat,Barcelona,3,False,55.0,good,"El Carmel, Barcelona",Piso en Calle de Calderón de la Barca,https://img3.idealista.com/blur/WEB_LISTING/90/id.pro.es.image.master/89/0d/01/752719485.jpg,https://www.idealista.com/inmueble/88687359/
